batch_size=256
discount_factor=0.99
epsilon=1.0
epsilon_min=0.005
epsilon_steps=5000
hidden_sizes=[]
learning_rate=0.001
train_start=100
opponent=random0.5
Round 94: lose - 7 cards left - epsilon=0.2132 - win rate: 9.47%, avg reward: -176.47
Round 95: win - epsilon=0.2106 - win rate: 9.38%, avg reward: -175.35
Round 96: lose - 10 cards left - epsilon=0.2084 - win rate: 10.31%, avg reward: -173.11
Round 97: lose - 2 cards left - epsilon=0.2012 - win rate: 10.2%, avg reward: -172.39
Round 98: lose - 2 cards left - epsilon=0.1968 - win rate: 10.1%, avg reward: -171.05
Round 99: lose - 8 cards left - epsilon=0.1803 - win rate: 10.0%, avg reward: -169.42
Round 100: lose - 2 cards left - epsilon=0.1730 - win rate: 9.9%, avg reward: -168.58
Round 101: lose - 1 cards left - epsilon=0.1670 - win rate: 9.8%, avg reward: -167.2
Round 102: lose - 5 cards left - epsilon=0.1535 - win rate: 9.71%, avg reward: -165.58
Round 103: lose - 7 cards left - epsilon=0.1479 - win rate: 9.62%, avg reward: -164.35
Round 104: win - epsilon=0.1447 - win rate: 9.52%, avg reward: -163.58
Round 105: lose - 8 cards left - epsilon=0.1397 - win rate: 10.38%, avg reward: -161.64
Round 106: win - epsilon=0.1345 - win rate: 10.28%, avg reward: -161.21
Round 107: lose - 4 cards left - epsilon=0.1232 - win rate: 11.11%, avg reward: -158.85
Round 108: lose - 2 cards left - epsilon=0.1133 - win rate: 11.01%, avg reward: -157.54
Round 109: win - epsilon=0.1079 - win rate: 10.91%, avg reward: -156.37
Round 110: win - epsilon=0.1041 - win rate: 11.71%, avg reward: -154.36
Round 111: win - epsilon=0.0955 - win rate: 12.5%, avg reward: -152.41
Round 112: win - epsilon=0.0844 - win rate: 13.27%, avg reward: -150.8
Round 113: lose - 2 cards left - epsilon=0.0772 - win rate: 14.04%, avg reward: -148.95
Round 114: win - epsilon=0.0699 - win rate: 13.91%, avg reward: -147.84
Round 115: lose - 4 cards left - epsilon=0.0685 - win rate: 14.66%, avg reward: -146.55
Round 116: lose - 6 cards left - epsilon=0.0675 - win rate: 14.53%, avg reward: -145.42
Round 117: win - epsilon=0.0651 - win rate: 14.41%, avg reward: -144.66
Round 118: lose - 5 cards left - epsilon=0.0617 - win rate: 15.13%, avg reward: -143.43
Round 119: win - epsilon=0.0593 - win rate: 15.0%, avg reward: -142.72
Round 120: lose - 5 cards left - epsilon=0.0569 - win rate: 15.7%, avg reward: -141.24
Round 121: win - epsilon=0.0452 - win rate: 15.57%, avg reward: -140.48
Round 122: win - epsilon=0.0438 - win rate: 16.26%, avg reward: -139.28
Round 123: win - epsilon=0.0370 - win rate: 16.94%, avg reward: -136.53
Round 124: lose - 1 cards left - epsilon=0.0307 - win rate: 17.6%, avg reward: -135.21
Round 125: lose - 4 cards left - epsilon=0.0283 - win rate: 17.46%, avg reward: -134.14
Round 126: lose - 4 cards left - epsilon=0.0253 - win rate: 17.32%, avg reward: -133.25
Round 127: win - epsilon=0.0203 - win rate: 17.19%, avg reward: -132.31
Round 128: lose - 5 cards left - epsilon=0.0165 - win rate: 17.83%, avg reward: -131.13
Round 129: win - epsilon=0.0126 - win rate: 17.69%, avg reward: -130.38
Round 130: win - epsilon=0.0090 - win rate: 18.32%, avg reward: -128.66
Round 131: win - epsilon=0.0054 - win rate: 18.94%, avg reward: -127.38
Round 132: win - win rate: 19.55%, avg reward: -125.81
Round 133: win - win rate: 20.15%, avg reward: -124.49
Round 134: win - win rate: 20.74%, avg reward: -123.48
Round 135: lose - 2 cards left - win rate: 21.32%, avg reward: -122.28
Round 136: lose - 3 cards left - win rate: 21.17%, avg reward: -121.68
Round 137: win - win rate: 21.01%, avg reward: -120.96
Round 138: lose - 3 cards left - win rate: 21.58%, avg reward: -119.6
Round 139: lose - 5 cards left - win rate: 21.43%, avg reward: -118.85
Round 140: lose - 2 cards left - win rate: 21.28%, avg reward: -118.41
Round 141: lose - 1 cards left - win rate: 21.13%, avg reward: -117.77
Round 142: lose - 6 cards left - win rate: 20.98%, avg reward: -116.97
Round 143: lose - 6 cards left - win rate: 20.83%, avg reward: -116.53
Round 144: win - win rate: 20.69%, avg reward: -116.07
Round 145: win - win rate: 21.23%, avg reward: -114.67
Round 146: win - win rate: 21.77%, avg reward: -113.52
Round 147: win - win rate: 22.3%, avg reward: -112.59
Round 148: lose - 2 cards left - win rate: 22.82%, avg reward: -111.63
Round 149: win - win rate: 22.67%, avg reward: -111.24
Round 150: win - win rate: 23.18%, avg reward: -110.3
Round 151: win - win rate: 23.68%, avg reward: -109.44
Round 152: lose - 1 cards left - win rate: 24.18%, avg reward: -108.18
